City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Maldonado,UY,-34.6667,-54.9167,75.0,78,20,13.8,few clouds
129,Half Moon Bay,US,37.4636,-122.4286,64.0,67,1,11.5,clear sky
130,Jamestown,US,42.097,-79.2353,53.01,37,1,10.36,clear sky
131,Kaitangata,NZ,-46.2817,169.8464,59.2,58,21,17.0,few clouds
132,Longyearbyen,SJ,78.2186,15.6401,24.8,63,75,26.46,broken clouds
133,Paraiso,CR,9.8383,-83.8656,80.01,57,20,20.71,few clouds
134,Lerwick,GB,60.1545,-1.1494,28.4,59,40,28.77,light snow
135,Fortuna,US,40.5982,-124.1573,54.0,81,90,8.05,overcast clouds
136,Pundaguitan,PH,6.3711,126.1689,80.74,76,90,8.43,overcast clouds
137,Kasungu,MW,-13.0333,33.4833,63.27,97,31,4.07,scattered clouds
138,Tyukalinsk,RU,55.8732,72.1967,31.3,85,100,11.95,overcast clouds
139,Galesong,ID,-5.3166,119.3661,77.0,100,40,2.3,scattered clouds
140,Bandarbeyla,SO,9.4942,50.8122,78.55,79,53,3.96,broken clouds
141,Waddan,LY,29.1614,16.139,77.43,9,98,10.6,overcast clouds
142,Langarud,IR,37.197,50.1535,51.8,76,0,2.3,clear sky
143,Klaksvik,FO,62.2266,-6.589,24.8,50,75,37.98,light snow
144,Airai,TL,-8.9266,125.4092,60.35,94,100,4.56,overcast clouds
145,Puerto Ayora,EC,-0.7393,-90.3518,86.0,66,20,16.11,few clouds
146,Luderitz,NA,-26.6481,15.1594,70.41,66,0,16.55,clear sky
147,Alyangula,AU,-13.8483,136.4192,78.39,62,58,5.28,broken clouds
148,Bluff,NZ,-46.6,168.3333,53.01,91,89,11.99,overcast clouds
149,Uusikaupunki,FI,60.8004,21.4084,39.2,87,0,12.66,clear sky
150,Zykovo,RU,55.9519,93.1461,24.8,100,92,3.42,mist
151,Kousseri,CM,12.0769,15.0306,87.8,15,61,8.05,broken clouds
152,Pelym,RU,61.0108,61.9978,33.15,99,100,3.11,overcast clouds
153,Kodiak,US,57.79,-152.4072,51.8,46,1,18.41,clear sky
154,Hennebont,FR,47.8051,-3.2734,50.0,76,0,4.61,clear sky
155,Poum,NC,-20.2333,164.0167,78.85,73,84,24.18,broken clouds
156,Lavrentiya,RU,65.5833,-171.0,-0.96,77,30,7.85,scattered clouds
157,Laguna,US,38.421,-121.4238,68.0,45,1,3.53,clear sky
158,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,100,6.91,light rain
159,Port-Cartier,CA,50.0334,-66.8654,33.01,93,90,6.91,snow
