City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Constitucion,CL,2021-04-02 16:48:08,-35.3333,-72.4167,66.31,60,13,9.01
111,Grafton,US,2021-04-02 16:49:29,42.207,-71.6856,37.0,43,75,12.66
112,Port Alfred,ZA,2021-04-02 16:49:30,-33.5906,26.891,63.12,80,100,16.04
113,Virden,US,2021-04-02 16:49:30,39.5009,-89.7679,46.0,47,3,8.01
114,La Joya,MX,2021-04-02 16:49:30,18.6667,-99.4667,81.0,33,1,10.36
115,Airai,TL,2021-04-02 16:49:31,-8.9266,125.4092,60.66,97,100,3.24
116,Strezhevoy,RU,2021-04-02 16:49:31,60.7333,77.5889,33.8,93,90,8.95
117,Victoria,HK,2021-04-02 16:45:10,22.2855,114.1577,78.01,85,2,4.21
118,Guangyuan,CN,2021-04-02 16:49:32,32.442,105.823,43.0,88,100,14.0
119,Albany,US,2021-04-02 16:49:23,42.6001,-73.9662,30.99,40,100,12.12
120,Sinnamary,GF,2021-04-02 16:49:32,5.3833,-52.95,76.87,90,100,7.67
121,Dengfeng,CN,2021-04-02 16:49:32,34.4553,113.0281,53.01,36,100,3.69
122,Torrington,US,2021-04-02 16:48:21,41.8007,-73.1212,30.0,51,91,8.99
123,Lata,PT,2021-04-02 16:49:33,40.1629,-8.3327,66.0,72,93,3.0
124,Kualakapuas,ID,2021-04-02 16:49:33,-3.0091,114.3876,77.0,100,80,2.3
125,Malabo,GQ,2021-04-02 16:47:46,3.75,8.7833,86.0,70,20,10.36
126,Castro Alves,BR,2021-04-02 16:49:34,-12.7656,-39.4283,94.73,33,76,6.73
127,Blairmore,CA,2021-04-02 16:49:34,49.6,-114.4353,50.0,29,37,3.44
128,Superior,US,2021-04-02 16:49:34,46.7208,-92.1041,48.99,29,1,16.11
129,Cidreira,BR,2021-04-02 16:49:35,-30.1811,-50.2056,72.03,70,85,11.52
130,Jamestown,US,2021-04-02 16:49:35,42.097,-79.2353,32.0,43,1,16.11
131,San Rafael,AR,2021-04-02 16:44:55,-34.6177,-68.3301,76.35,41,94,17.27
132,Umm Kaddadah,SD,2021-04-02 16:49:36,13.6017,26.6876,81.45,11,17,12.71
133,Los Llanos De Aridane,ES,2021-04-02 16:49:36,28.6585,-17.9182,69.8,64,40,12.66
134,Tabas,IR,2021-04-02 16:49:36,33.5959,56.9244,82.24,12,100,5.46
135,Nara,JP,2021-04-02 16:49:37,34.6851,135.8049,61.0,65,6,6.76
136,Coffs Harbour,AU,2021-04-02 16:49:37,-30.3,153.1333,64.4,88,40,7.94
137,Ilulissat,GL,2021-04-02 16:49:37,69.2167,-51.1,10.4,56,20,6.91
138,Chokurdakh,RU,2021-04-02 16:49:38,70.6333,147.9167,-2.43,98,100,3.8
139,Astana,KZ,2021-04-02 16:49:38,51.1801,71.446,26.6,86,0,11.18
140,Castro,BR,2021-04-02 16:49:38,-24.7911,-50.0119,72.63,46,23,2.24
141,Kodiak,US,2021-04-02 16:49:39,57.79,-152.4072,30.2,37,1,4.97
142,Canutama,BR,2021-04-02 16:49:39,-6.5339,-64.3831,83.34,81,88,3.51
143,Bethel,US,2021-04-02 16:49:39,41.3712,-73.414,30.0,48,74,11.27
144,Vanimo,PG,2021-04-02 16:49:40,-2.6741,141.3028,76.8,90,100,5.01
145,Glubokiy,RU,2021-04-02 16:49:40,48.5217,40.3258,51.98,58,11,6.26
146,Kirkuk,IQ,2021-04-02 16:47:08,35.4681,44.3922,62.55,38,0,11.12
147,Ghatampur,IN,2021-04-02 16:47:23,26.1667,80.1667,81.27,6,0,5.7
148,Yumen,CN,2021-04-02 16:49:41,40.2833,97.2,43.72,19,100,19.51
149,Komsomolskiy,UZ,2021-04-02 16:49:41,40.4272,71.7189,44.6,39,0,4.61
150,Gagarin,RU,2021-04-02 16:49:41,55.5529,34.9954,37.08,78,85,4.63
151,Bluff,NZ,2021-04-02 16:49:42,-46.6,168.3333,48.52,74,49,10.63
152,Rantauprapat,ID,2021-04-02 16:49:42,2.1,99.8333,73.8,96,98,2.44
153,Burns Lake,CA,2021-04-02 16:49:42,54.2331,-125.7533,30.2,69,100,2.3
154,Vardo,NO,2021-04-02 16:49:43,70.3705,31.1107,32.5,72,98,4.72
155,Yar-Sale,RU,2021-04-02 16:49:43,66.8333,70.8333,30.0,98,100,5.84
156,Puerto Madryn,AR,2021-04-02 16:49:43,-42.7692,-65.0385,73.44,46,100,15.37
157,Padang,ID,2021-04-02 16:49:44,-0.9492,100.3543,75.2,88,20,3.44
158,Muravlenko,RU,2021-04-02 16:49:44,63.7898,74.523,26.78,95,100,8.59
159,Qaanaaq,GL,2021-04-02 16:49:44,77.484,-69.3632,-11.25,75,100,12.91
160,Belmonte,BR,2021-04-02 16:49:45,-15.8631,-38.8828,87.8,70,20,13.8
161,Auki,SB,2021-04-02 16:49:45,-8.7676,160.7034,76.93,86,79,4.14
162,Yulara,AU,2021-04-02 16:49:46,-25.2406,130.9889,68.0,45,0,8.05
163,Areka,ET,2021-04-02 16:49:46,7.0667,37.7,69.75,46,49,5.95
164,Buzdyak,RU,2021-04-02 16:49:46,54.5833,54.55,31.05,86,72,8.95
165,Coquimbo,CL,2021-04-02 16:49:03,-29.9533,-71.3436,62.6,72,20,12.66
166,Noumea,NC,2021-04-02 16:49:47,-22.2763,166.4572,78.01,100,90,4.61
167,Vila Do Maio,CV,2021-04-02 16:49:47,15.1333,-23.2167,86.0,28,0,18.41
168,Okhotsk,RU,2021-04-02 16:49:47,59.3833,143.3,7.48,92,64,5.97
169,Port Hardy,CA,2021-04-02 16:49:48,50.6996,-127.4199,41.0,93,90,2.3
170,Talaya,RU,2021-04-02 16:49:48,61.3833,152.75,-23.06,92,54,2.53
171,Kavieng,PG,2021-04-02 16:49:48,-2.5744,150.7967,82.02,80,100,7.94
172,San Cristobal,VE,2021-04-02 16:49:49,7.7669,-72.225,80.6,65,75,19.57
173,Upernavik,GL,2021-04-02 16:49:49,72.7868,-56.1549,-9.24,87,100,14.18
174,Manokwari,ID,2021-04-02 16:49:50,-0.8667,134.0833,78.37,78,100,4.27
175,Mizan Teferi,ET,2021-04-02 16:49:50,6.9833,35.5833,66.34,65,76,1.54
176,Luderitz,NA,2021-04-02 16:49:50,-26.6481,15.1594,72.28,50,0,20.24
177,Tymovskoye,RU,2021-04-02 16:49:51,50.8456,142.655,31.51,91,100,8.99
178,Ampanihy,MG,2021-04-02 16:49:51,-24.7,44.75,74.16,68,0,11.72
179,Fairbanks,US,2021-04-02 16:49:51,64.8378,-147.7164,0.0,84,90,3.44
180,Kargasok,RU,2021-04-02 16:49:52,59.0556,80.8572,32.68,95,100,12.3
181,Lerwick,GB,2021-04-02 16:49:52,60.1545,-1.1494,42.8,65,40,14.97
182,Port Hedland,AU,2021-04-02 16:49:52,-20.3167,118.5667,73.4,60,2,10.36
183,Charters Towers,AU,2021-04-02 16:49:53,-20.1,146.2667,64.9,77,1,10.11
184,Port Blair,IN,2021-04-02 16:49:53,11.6667,92.75,76.77,69,93,3.76
185,Portland,US,2021-04-02 16:46:45,45.5234,-122.6762,48.99,76,75,1.48
186,Melton,AU,2021-04-02 16:45:29,-37.6833,144.5833,66.2,67,0,12.66
